#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   7.09  0.27  0.51638 -1.366 3.593  4.835  9.20  0.000 0.00 17.385 20.887 19.815 18.576 17.672 16.726 15.709 15.050 14.911  0.516 
 1   7.17 -0.15  0.35094 -1.746 3.578  4.985  6.20  0.000 0.00 15.334 19.029 17.884 16.532 15.591 14.648 13.643 13.057 12.873  0.351 
 1   7.17  0.11  0.84672 -0.529 3.691  4.606  9.00  0.000 0.00 15.092 17.070 16.369 15.396 14.828 14.379 13.740 13.217 13.156  0.847 
 1   7.25  0.17  3.51547  2.154 4.113  4.227  8.70  0.000 0.00  8.084  8.335  8.777  8.891  8.939  9.009  9.166  9.215  9.253  3.515 
 1   7.25  0.31  0.84234 -0.559 3.684  4.605  9.40  0.000 0.00 15.567 17.770 16.940 15.914 15.311 14.847 14.183 13.648 13.583  0.842 
 1   7.55  0.41  0.35094 -1.784 3.561  4.958  6.90  0.000 0.00 16.130 20.205 18.996 17.628 16.633 15.490 14.382 13.793 13.587  0.351 
 1   7.57 -0.33  0.84671 -0.390 3.729  4.619  9.70  0.000 0.00 15.445 16.636 16.372 15.595 15.150 14.766 14.249 13.826 13.779  0.847 
 1   7.65 -0.27  0.73270 -0.708 3.680  4.676  8.80  0.000 0.00 15.340 17.348 16.679 15.705 15.119 14.644 13.965 13.400 13.330  0.733 
 1   7.65 -0.13  0.84233 -0.473 3.709  4.620  9.50  0.000 0.00 15.451 17.023 16.544 15.669 15.166 14.751 14.172 13.697 13.643  0.842 
 1   7.73  0.31  1.19503  0.190 3.780  4.392  8.40  0.000 0.00 12.694 13.491 13.335 12.704 12.346 12.052 11.688 11.406 11.377  1.195 
 1   7.73  0.31  1.43295  0.572 3.827  4.275 10.50  0.000 0.00 13.839 14.263 14.237 13.793 13.530 13.312 13.065 12.876 12.857  1.433 
 1   7.79  0.29  2.58568  1.643 4.015  4.213  8.90  0.000 0.00  9.561  9.672  9.813  9.854  9.875  9.908  9.971  9.992 10.006  2.586 
 1   7.83  0.07  1.49052  0.677 3.848  4.271  9.50  0.000 0.00 12.579 12.869 12.895 12.543 12.326 12.139 11.931 11.772 11.758  1.491 
 1   7.89  0.07  2.63188  1.699 4.032  4.232 10.10  0.000 0.00 10.622 10.766 10.957 11.012 11.039 11.078 11.155 11.181 11.199  2.632 
 1   7.91 -0.09  0.83246 -0.512 3.702  4.626  8.80  0.000 0.00 14.850 16.549 16.003 15.096 14.573 14.145 13.543 13.048 12.992  0.832 
 1   7.91  0.11  1.44757  0.613 3.836  4.276 11.00  0.000 0.00 14.239 14.581 14.599 14.206 13.965 13.759 13.527 13.347 13.330  1.448 
 1   7.91  0.13  1.18327  0.188 3.783  4.400  9.10  0.000 0.00 13.401 14.108 14.018 13.419 13.073 12.780 12.418 12.131 12.104  1.183 
 1   7.91  0.17  1.15145  0.117 3.773  4.420  9.30  0.000 0.00 13.777 14.592 14.450 13.807 13.439 13.132 12.746 12.441 12.411  1.151 
 1   7.95 -0.01  2.97531  1.933 4.071  4.207  9.30  0.000 0.00  9.236  9.431  9.747  9.833  9.871  9.924 10.040 10.076 10.105  2.975 
 1   8.01 -0.01  2.12039  1.343 3.977  4.275 10.00  0.000 0.00 11.411 11.538 11.570 11.550 11.548 11.553 11.568 11.571 11.574  2.120 
